Title,Year,Studio
Howard the Duck,1986,Universal Pictures
Blade,1998,New Line Cinema
X-Men,2000,20th Century Fox
Spider-Man,2002,Columbia Pictures
Daredevil,2003,20th Century Fox
Hulk,2003,Universal Pictures
The Punisher,2004,Lionsgate
Spider-Man 2,2004,Columbia Pictures
Fantastic Four,2005,20th Century Fox
X-Men: The Last Stand,2006,20th Century Fox
Ghost Rider,2007,Columbia Pictures
Spider-Man 3,2007,Columbia Pictures
Iron Man,2008,Paramount Pictures
The Incredible Hulk,2008,Universal Pictures
X-Men Origins: Wolverine,2009,20th Century Fox
Thor,2011,Paramount Pictures
Captain America: The First Avenger,2011,Paramount Pictures
The Avengers,2012,Walt Disney Studios
Iron Man 3,2013,Walt Disney Studios
Thor: The Dark World,2013,Walt Disney Studios
Guardians of the Galaxy,2014,Walt Disney Studios
Avengers: Age of Ultron,2015,Walt Disney Studios
Deadpool,2016,20th Century Fox
Doctor Strange,2016,Walt Disney Studios
Spider-Man: Homecoming,2017,Columbia Pictures
Black Panther,2018,Walt Disney Studios
Avengers: Endgame,2019,Walt Disney Studios
Spider-Man: No Way Home,2021,Columbia Pictures
